Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	E0135	namespace "ospcommon" has no member "vec3f"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	32	
Error (active)	E0135	namespace "ospcommon" has no member "vec3f"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	33	
Error (active)	E0018	expected a ')'	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	43	
Error (active)	E0135	namespace "ospcommon" has no member "vec2i"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	52	
Error (active)	E0135	namespace "ospcommon" has no member "box3f"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	133	
Error (active)	E0135	namespace "ospray::cpp" has no member "Renderer"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	135	
Error (active)	E0065	expected a ';'	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	135	
Error (active)	E0135	namespace "ospray::cpp" has no member "Renderer"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	136	
Error (active)	E0065	expected a ';'	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	136	
Error (active)	E0135	namespace "ospray::cpp" has no member "FrameBuffer"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	138	
Error (active)	E0065	expected a ';'	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	138	
Error (active)	E0020	identifier "renderer" is undefined	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	140	
Error (active)	E0020	identifier "rendererDW" is undefined	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	140	
Error (active)	E0020	identifier "frameBufferDW" is undefined	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	155	
Error (active)	E0135	namespace "ospray::cpp" has no member "FrameBuffer"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	155	
Error (active)	E0135	namespace "ospray::cpp" has no member "Renderer"	project1	c:\Users\HP\Documents\Visual Studio 2017\Projects\project1\project1\ospExampleViewer.cpp	168	
